Entity;Week;Day;Flights;Flights (7-day moving average);Day 2019;Flights 2019 (Reference);% vs 2019 (Daily);% vs 2019 (7-day Moving Average);Day Previous Year;Flights Previous Year
AEGEAN Group;39;2021-10-01;286;290,1;2019-10-04;369;-22,49%;-21,73%;2020-10-02;196
AEGEAN Group;39;2021-10-02;292;288,1;2019-10-05;353;-17,28%;-21,15%;2020-10-03;223
AEGEAN Group;39;2021-10-03;286;283,9;2019-10-06;371;-22,91%;-21,83%;2020-10-04;214
AEGEAN Group;40;2021-10-04;280;282;2019-10-07;354;-20,90%;-21,32%;2020-10-05;195
AEGEAN Group;40;2021-10-05;255;280,1;2019-10-08;313;-18,53%;-20,96%;2020-10-06;126
AEGEAN Group;40;2021-10-06;250;276;2019-10-09;333;-24,92%;-21,21%;2020-10-07;136
AEGEAN Group;40;2021-10-07;255;272;2019-10-10;344;-25,87%;-21,87%;2020-10-08;162
AEGEAN Group;40;2021-10-08;273;270,1;2019-10-11;358;-23,74%;-22,05%;2020-10-09;184
AEGEAN Group;40;2021-10-09;283;268,9;2019-10-12;337;-16,02%;-21,91%;2020-10-10;209
AEGEAN Group;40;2021-10-10;275;267,3;2019-10-13;354;-22,32%;-21,81%;2020-10-11;203
AEGEAN Group;41;2021-10-11;276;266,7;2019-10-14;345;-20,00%;-21,69%;2020-10-12;180
AEGEAN Group;41;2021-10-12;249;265,9;2019-10-15;289;-13,84%;-21,14%;2020-10-13;116
AEGEAN Group;41;2021-10-13;247;265,4;2019-10-16;328;-24,70%;-21,10%;2020-10-14;131
AEGEAN Group;41;2021-10-14;246;264,1;2019-10-17;332;-25,90%;-21,08%;2020-10-15;2
AEGEAN Group;41;2021-10-15;264;262,9;2019-10-18;343;-23,03%;-20,96%;2020-10-16;185
AEGEAN Group;41;2021-10-16;297;264,9;2019-10-19;340;-12,65%;-20,46%;2020-10-17;204
AEGEAN Group;41;2021-10-17;274;264,7;2019-10-20;347;-21,04%;-20,27%;2020-10-18;181
AEGEAN Group;42;2021-10-18;260;262,4;2019-10-21;341;-23,75%;-20,82%;2020-10-19;159
AEGEAN Group;42;2021-10-19;242;261,4;2019-10-22;275;-12,00%;-20,64%;2020-10-20;125
AEGEAN Group;42;2021-10-20;249;261,7;2019-10-23;320;-22,19%;-20,28%;2020-10-21;120
AEGEAN Group;42;2021-10-21;248;262;2019-10-24;312;-20,51%;-19,49%;2020-10-22;155
AEGEAN Group;42;2021-10-22;281;264,4;2019-10-25;340;-17,35%;-18,64%;2020-10-23;179
AEGEAN Group;42;2021-10-23;289;263,3;2019-10-26;320;-9,69%;-18,27%;2020-10-24;189
AEGEAN Group;42;2021-10-24;271;262,9;2019-10-27;276;-1,81%;-15,75%;2020-10-25;179
AEGEAN Group;43;2021-10-25;247;261;2019-10-28;304;-18,75%;-14,90%;2020-10-26;162
AEGEAN Group;43;2021-10-26;229;259,1;2019-10-29;245;-6,53%;-14,31%;2020-10-27;100
AEGEAN Group;43;2021-10-27;239;257,7;2019-10-30;263;-9,13%;-12,43%;2020-10-28;126
AEGEAN Group;43;2021-10-28;240;256,6;2019-10-31;287;-16,38%;-11,74%;2020-10-29;150
AEGEAN Group;43;2021-10-29;259;253,4;2019-11-01;305;-15,08%;-11,30%;2020-10-30;156
AEGEAN Group;43;2021-10-30;278;251,9;2019-11-02;272;2,21%;-9,68%;2020-10-31;148
AEGEAN Group;43;2021-10-31;260;250,3;2019-11-03;293;-11,26%;-11,02%;2020-11-01;179
AEGEAN Group;44;2021-11-01;248;250,4;2019-11-04;270;-8,15%;-9,41%;2020-11-02;151
AEGEAN Group;44;2021-11-02;198;246;2019-11-05;242;-18,18%;-10,87%;2020-11-03;107
AEGEAN Group;44;2021-11-03;221;243,4;2019-11-06;257;-14,01%;-11,53%;2020-11-04;101
AEGEAN Group;44;2021-11-04;244;244;2019-11-07;280;-12,86%;-11,00%;2020-11-05;125
AEGEAN Group;44;2021-11-05;234;240,4;2019-11-08;288;-18,75%;-11,51%;2020-11-06;117
AEGEAN Group;44;2021-11-06;236;234,4;2019-11-09;239;-1,26%;-12,20%;2020-11-07;100
AEGEAN Group;44;2021-11-07;241;231,7;2019-11-10;263;-8,37%;-11,80%;2020-11-08;134
AEGEAN Group;45;2021-11-08;234;229,7;2019-11-11;268;-12,69%;-12,47%;2020-11-09;110
AEGEAN Group;45;2021-11-09;190;228,6;2019-11-12;233;-18,45%;-12,47%;2020-11-10;90
AEGEAN Group;45;2021-11-10;210;227;2019-11-13;251;-16,33%;-12,79%;2020-11-11;99
AEGEAN Group;45;2021-11-11;235;225,7;2019-11-14;280;-16,07%;-13,28%;2020-11-12;92
AEGEAN Group;45;2021-11-12;222;224;2019-11-15;284;-21,83%;-13,75%;2020-11-13;98
AEGEAN Group;45;2021-11-13;201;219;2019-11-16;225;-10,67%;-15,02%;2020-11-14;72
AEGEAN Group;45;2021-11-14;229;217,3;2019-11-17;267;-14,23%;-15,87%;2020-11-15;96
AEGEAN Group;46;2021-11-15;231;216,9;2019-11-18;263;-12,17%;-15,81%;2020-11-16;82
AEGEAN Group;46;2021-11-16;193;217,3;2019-11-19;228;-15,35%;-15,41%;2020-11-17;63
AEGEAN Group;46;2021-11-17;207;216,9;2019-11-20;243;-14,81%;-15,20%;2020-11-18;71
AEGEAN Group;46;2021-11-18;223;215,1;2019-11-21;261;-14,56%;-14,96%;2020-11-19;74
AEGEAN Group;46;2021-11-19;215;214,1;2019-11-22;279;-22,94%;-15,12%;2020-11-20;88
AEGEAN Group;46;2021-11-20;198;213,7;2019-11-23;213;-7,04%;-14,71%;2020-11-21;58
AEGEAN Group;46;2021-11-21;234;214,4;2019-11-24;264;-11,36%;-14,28%;2020-11-22;70
AEGEAN Group;47;2021-11-22;227;213,9;2019-11-25;253;-10,28%;-14,01%;2020-11-23;72
AEGEAN Group;47;2021-11-23;190;213,4;2019-11-26;227;-16,30%;-14,14%;2020-11-24;47
AEGEAN Group;47;2021-11-24;205;213,1;2019-11-27;240;-14,58%;-14,10%;2020-11-25;50
AEGEAN Group;47;2021-11-25;227;213,7;2019-11-28;256;-11,33%;-13,63%;2020-11-26;27
AEGEAN Group;47;2021-11-26;218;214,1;2019-11-29;270;-19,26%;-13,00%;2020-11-27;70
AEGEAN Group;47;2021-11-27;192;213,3;2019-11-30;214;-10,28%;-13,40%;2020-11-28;49
AEGEAN Group;47;2021-11-28;224;211,9;2019-12-01;260;-13,85%;-13,78%;2020-11-29;73
AEGEAN Group;48;2021-11-29;216;210,3;2019-12-02;253;-14,62%;-14,42%;2020-11-30;67
AEGEAN Group;48;2021-11-30;184;209,4;2019-12-03;216;-14,81%;-14,22%;2020-12-01;50
AEGEAN Group;48;2021-12-01;201;208,9;2019-12-04;237;-15,19%;-14,30%;2020-12-02;60
AEGEAN Group;48;2021-12-02;219;207,7;2019-12-05;251;-12,75%;-14,52%;2020-12-03;59
AEGEAN Group;48;2021-12-03;216;207,4;2019-12-06;268;-19,40%;-14,54%;2020-12-04;71
AEGEAN Group;48;2021-12-04;193;207,6;2019-12-07;209;-7,66%;-14,23%;2020-12-05;56
AEGEAN Group;48;2021-12-05;215;206,3;2019-12-08;257;-16,34%;-14,61%;2020-12-06;66
AEGEAN Group;49;2021-12-06;232;208,6;2019-12-09;247;-6,07%;-13,35%;2020-12-07;75
AEGEAN Group;49;2021-12-07;177;207,6;2019-12-10;216;-18,06%;-13,77%;2020-12-08;50
AEGEAN Group;49;2021-12-08;195;206,7;2019-12-11;240;-18,75%;-14,28%;2020-12-09;49
AEGEAN Group;49;2021-12-09;215;206,1;2019-12-12;257;-16,34%;-14,82%;2020-12-10;60
AEGEAN Group;49;2021-12-10;206;204,7;2019-12-13;275;-25,09%;-15,76%;2020-12-11;89
AEGEAN Group;49;2021-12-11;196;205,1;2019-12-14;218;-10,09%;-16,02%;2020-12-12;74
AEGEAN Group;49;2021-12-12;206;203,9;2019-12-15;266;-22,56%;-16,99%;2020-12-13;85
AEGEAN Group;50;2021-12-13;232;203,9;2019-12-16;255;-9,02%;-17,37%;2020-12-14;75
AEGEAN Group;50;2021-12-14;185;205;2019-12-17;222;-16,67%;-17,20%;2020-12-15;59
AEGEAN Group;50;2021-12-15;204;206,3;2019-12-18;256;-20,31%;-17,44%;2020-12-16;75
AEGEAN Group;50;2021-12-16;224;207,6;2019-12-19;265;-15,47%;-17,30%;2020-12-17;114
AEGEAN Group;50;2021-12-17;228;210,7;2019-12-20;285;-20,00%;-16,53%;2020-12-18;118
AEGEAN Group;50;2021-12-18;200;211,3;2019-12-21;242;-17,36%;-17,42%;2020-12-19;106
AEGEAN Group;50;2021-12-19;221;213,4;2019-12-22;282;-21,63%;-17,32%;2020-12-20;118
AEGEAN Group;51;2021-12-20;231;213,3;2019-12-23;290;-20,34%;-18,95%;2020-12-21;86
AEGEAN Group;51;2021-12-21;217;217,9;2019-12-24;234;-7,26%;-17,75%;2020-12-22;72
AEGEAN Group;51;2021-12-22;224;220,7;2019-12-25;173;29,48%;-12,76%;2020-12-23;120
AEGEAN Group;51;2021-12-23;255;225,1;2019-12-26;284;-10,21%;-11,96%;2020-12-24;115
AEGEAN Group;51;2021-12-24;209;222,4;2019-12-27;279;-25,09%;-12,72%;2020-12-25;38
AEGEAN Group;51;2021-12-25;112;209,9;2019-12-28;234;-52,14%;-17,29%;2020-12-26;65
AEGEAN Group;51;2021-12-26;205;207,6;2019-12-29;284;-27,82%;-18,28%;2020-12-27;100
AEGEAN Group;52;2021-12-27;241;209;2019-12-30;260;-7,31%;-16,30%;2020-12-28;84
AEGEAN Group;52;2021-12-28;216;208,9;2019-12-31;220;-1,82%;-15,69%;2020-12-29;71
AEGEAN Group;52;2021-12-29;218;208;2020-01-01;227;-3,96%;-18,57%;2020-12-30;79
AEGEAN Group;52;2021-12-30;232;204,7;2020-01-02;288;-19,44%;-20,03%;2020-12-31;53
AEGEAN Group;52;2021-12-31;160;197,7;2020-01-03;274;-41,61%;-22,55%;2021-01-01;53
AEGEAN Group;52;2022-01-01;118;198,6;2019-01-05;220;-46,36%;-21,60%;2021-01-02;83
AEGEAN Group;52;2022-01-02;232;202,4;2019-01-06;260;-10,77%;-18,98%;2021-01-03;153
AEGEAN Group;1;2022-01-03;234;201,4;2019-01-07;228;2,63%;-17,88%;2021-01-04;91
AEGEAN Group;1;2022-01-04;204;199,7;2019-01-08;214;-4,67%;-18,29%;2021-01-05;76
AEGEAN Group;1;2022-01-05;190;195,7;2019-01-09;222;-14,41%;-19,70%;2021-01-06;92
AEGEAN Group;1;2022-01-06;210;192,6;2019-01-10;230;-8,70%;-18,20%;2021-01-07;99
AEGEAN Group;1;2022-01-07;205;199;2019-01-11;247;-17,00%;-14,07%;2021-01-08;94
AEGEAN Group;1;2022-01-08;209;212;2019-01-12;193;8,29%;-6,90%;2021-01-09;81
AEGEAN Group;1;2022-01-09;227;211,3;2019-01-13;234;-2,99%;-5,68%;2021-01-10;144
AEGEAN Group;2;2022-01-10;214;208,4;2019-01-14;218;-1,83%;-6,35%;2021-01-11;112
AEGEAN Group;2;2022-01-11;173;204;2019-01-15;197;-12,18%;-7,33%;2021-01-12;83
AEGEAN Group;2;2022-01-12;170;201,1;2019-01-16;212;-19,81%;-8,03%;2021-01-13;90
AEGEAN Group;2;2022-01-13;174;196;2019-01-17;226;-23,01%;-10,15%;2021-01-14;98
AEGEAN Group;2;2022-01-14;171;191,1;2019-01-18;247;-30,77%;-12,38%;2021-01-15;110
AEGEAN Group;2;2022-01-15;147;182,3;2019-01-19;194;-24,23%;-16,49%;2021-01-16;73
AEGEAN Group;2;2022-01-16;176;175;2019-01-20;231;-23,81%;-19,67%;2021-01-17;117
AEGEAN Group;3;2022-01-17;174;169,3;2019-01-21;213;-18,31%;-22,04%;2021-01-18;104
AEGEAN Group;3;2022-01-18;146;165,4;2019-01-22;204;-28,43%;-24,17%;2021-01-19;71
AEGEAN Group;3;2022-01-19;134;160,3;2019-01-23;204;-34,31%;-26,14%;2021-01-20;74
AEGEAN Group;3;2022-01-20;173;160,1;2019-01-24;219;-21,00%;-25,86%;2021-01-21;91
AEGEAN Group;3;2022-01-21;167;159,6;2019-01-25;230;-27,39%;-25,28%;2021-01-22;92
AEGEAN Group;3;2022-01-22;145;159,3;2019-01-26;206;-29,61%;-26,01%;2021-01-23;69
AEGEAN Group;3;2022-01-23;168;158,1;2019-01-27;237;-29,11%;-26,83%;2021-01-24;99
AEGEAN Group;4;2022-01-24;93;146,6;2019-01-28;211;-55,92%;-32,10%;2021-01-25;103
AEGEAN Group;4;2022-01-25;24;129,1;2019-01-29;200;-88,00%;-40,01%;2021-01-26;60
AEGEAN Group;4;2022-01-26;111;125,9;2019-01-30;202;-45,05%;-41,46%;2021-01-27;74
AEGEAN Group;4;2022-01-27;171;125,6;2019-01-31;219;-21,92%;-41,59%;2021-01-28;89
Aer Lingus Group;39;2021-10-01;106;96,7;2019-10-04;239;-55,65%;-58,99%;2020-10-02;48
Aer Lingus Group;39;2021-10-02;91;96,4;2019-10-05;217;-58,06%;-58,54%;2020-10-03;39
Aer Lingus Group;39;2021-10-03;110;95;2019-10-06;232;-52,59%;-58,90%;2020-10-04;51
Aer Lingus Group;40;2021-10-04;91;93,9;2019-10-07;234;-61,11%;-59,22%;2020-10-05;44
Aer Lingus Group;40;2021-10-05;88;94,3;2019-10-08;232;-62,07%;-59,26%;2020-10-06;34
Aer Lingus Group;40;2021-10-06;78;93,1;2019-10-09;230;-66,09%;-59,70%;2020-10-07;36
Aer Lingus Group;40;2021-10-07;90;93,4;2019-10-10;240;-62,50%;-59,73%;2020-10-08;39
Aer Lingus Group;40;2021-10-08;107;93,6;2019-10-11;242;-55,79%;-59,74%;2020-10-09;44
Aer Lingus Group;40;2021-10-09;88;93,1;2019-10-12;217;-59,45%;-59,93%;2020-10-10;38
Aer Lingus Group;40;2021-10-10;113;93,6;2019-10-13;231;-51,08%;-59,72%;2020-10-11;50
Aer Lingus Group;41;2021-10-11;94;94;2019-10-14;233;-59,66%;-59,51%;2020-10-12;40
Aer Lingus Group;41;2021-10-12;92;94,6;2019-10-15;233;-60,52%;-59,29%;2020-10-13;28
Aer Lingus Group;41;2021-10-13;79;94,7;2019-10-16;228;-65,35%;-59,17%;2020-10-14;35
Aer Lingus Group;41;2021-10-14;92;95;2019-10-17;238;-61,34%;-59,00%;2020-10-15;36
Aer Lingus Group;41;2021-10-15;112;95,7;2019-10-18;239;-53,14%;-58,62%;2020-10-16;40
Aer Lingus Group;41;2021-10-16;93;96,4;2019-10-19;215;-56,74%;-58,26%;2020-10-17;32
Aer Lingus Group;41;2021-10-17;114;96,6;2019-10-20;232;-50,86%;-58,22%;2020-10-18;46
Aer Lingus Group;42;2021-10-18;93;96,4;2019-10-21;232;-59,91%;-58,26%;2020-10-19;35
Aer Lingus Group;42;2021-10-19;93;96,6;2019-10-22;227;-59,03%;-58,04%;2020-10-20;29
Aer Lingus Group;42;2021-10-20;82;97;2019-10-23;229;-64,19%;-57,88%;2020-10-21;30
Aer Lingus Group;42;2021-10-21;103;98,6;2019-10-24;237;-56,54%;-57,17%;2020-10-22;34
Aer Lingus Group;42;2021-10-22;126;100,6;2019-10-25;239;-47,28%;-56,30%;2020-10-23;42
Aer Lingus Group;42;2021-10-23;112;103,3;2019-10-26;212;-47,17%;-55,04%;2020-10-24;38
Aer Lingus Group;42;2021-10-24;124;104,7;2019-10-27;218;-43,12%;-54,02%;2020-10-25;50
Aer Lingus Group;43;2021-10-25;99;105,6;2019-10-28;218;-54,59%;-53,23%;2020-10-26;46
Aer Lingus Group;43;2021-10-26;90;105,1;2019-10-29;203;-55,67%;-52,70%;2020-10-27;32
Aer Lingus Group;43;2021-10-27;86;105,7;2019-10-30;206;-58,25%;-51,73%;2020-10-28;40
Aer Lingus Group;43;2021-10-28;96;104,7;2019-10-31;211;-54,50%;-51,36%;2020-10-29;40
Aer Lingus Group;43;2021-10-29;114;103;2019-11-01;220;-48,18%;-51,55%;2020-10-30;52
Aer Lingus Group;43;2021-10-30;109;102,6;2019-11-02;177;-38,42%;-50,58%;2020-10-31;38
Aer Lingus Group;43;2021-10-31;127;103;2019-11-03;217;-41,47%;-50,34%;2020-11-01;57
Aer Lingus Group;44;2021-11-01;92;102;2019-11-04;212;-56,60%;-50,62%;2020-11-02;47
Aer Lingus Group;44;2021-11-02;79;100,4;2019-11-05;190;-58,42%;-50,94%;2020-11-03;26
Aer Lingus Group;44;2021-11-03;84;100,1;2019-11-06;194;-56,70%;-50,67%;2020-11-04;29
Aer Lingus Group;44;2021-11-04;99;100,6;2019-11-07;201;-50,75%;-50,11%;2020-11-05;28
Aer Lingus Group;44;2021-11-05;108;99,7;2019-11-08;212;-49,06%;-50,25%;2020-11-06;38
Aer Lingus Group;44;2021-11-06;70;94,1;2019-11-09;150;-53,33%;-52,11%;2020-11-07;26
Aer Lingus Group;44;2021-11-07;116;92,6;2019-11-10;212;-45,28%;-52,74%;2020-11-08;38
Aer Lingus Group;45;2021-11-08;97;93,3;2019-11-11;204;-52,45%;-52,09%;2020-11-09;26
Aer Lingus Group;45;2021-11-09;81;93,6;2019-11-12;185;-56,22%;-51,77%;2020-11-10;16
Aer Lingus Group;45;2021-11-10;88;94,1;2019-11-13;186;-52,69%;-51,19%;2020-11-11;20
Aer Lingus Group;45;2021-11-11;104;94,9;2019-11-14;200;-48,00%;-50,78%;2020-11-12;22
Aer Lingus Group;45;2021-11-12;112;95,4;2019-11-15;208;-46,15%;-50,33%;2020-11-13;26
Aer Lingus Group;45;2021-11-13;72;95,7;2019-11-16;147;-51,02%;-50,07%;2020-11-14;14
Aer Lingus Group;45;2021-11-14;119;96,1;2019-11-17;208;-42,79%;-49,70%;2020-11-15;32
Aer Lingus Group;46;2021-11-15;99;96,4;2019-11-18;201;-50,75%;-49,44%;2020-11-16;25
Aer Lingus Group;46;2021-11-16;82;96,6;2019-11-19;177;-53,67%;-49,06%;2020-11-17;12
Aer Lingus Group;46;2021-11-17;88;96,6;2019-11-20;187;-52,94%;-49,10%;2020-11-18;18
Aer Lingus Group;46;2021-11-18;105;96,7;2019-11-21;196;-46,43%;-48,87%;2020-11-19;24
Aer Lingus Group;46;2021-11-19;115;97,1;2019-11-22;207;-44,44%;-48,60%;2020-11-20;22
Aer Lingus Group;46;2021-11-20;77;97,9;2019-11-23;149;-48,32%;-48,30%;2020-11-21;10
Aer Lingus Group;46;2021-11-21;117;97,6;2019-11-24;206;-43,20%;-48,37%;2020-11-22;23
Aer Lingus Group;47;2021-11-22;103;98,1;2019-11-25;195;-47,18%;-47,84%;2020-11-23;22
Aer Lingus Group;47;2021-11-23;86;98,7;2019-11-26;177;-51,41%;-47,53%;2020-11-24;12
Aer Lingus Group;47;2021-11-24;89;98,9;2019-11-27;184;-51,63%;-47,34%;2020-11-25;16
Aer Lingus Group;47;2021-11-25;106;99;2019-11-28;187;-43,32%;-46,90%;2020-11-26;18
Aer Lingus Group;47;2021-11-26;117;99,3;2019-11-29;204;-42,65%;-46,62%;2020-11-27;22
Aer Lingus Group;47;2021-11-27;79;99,6;2019-11-30;148;-46,62%;-46,43%;2020-11-28;8
Aer Lingus Group;47;2021-11-28;121;100,1;2019-12-01;198;-38,89%;-45,78%;2020-11-29;23
Aer Lingus Group;48;2021-11-29;99;99,6;2019-12-02;194;-48,97%;-46,05%;2020-11-30;24
Aer Lingus Group;48;2021-11-30;88;99,9;2019-12-03;172;-48,84%;-45,69%;2020-12-01;12
Aer Lingus Group;48;2021-12-01;94;100,6;2019-12-04;187;-49,73%;-45,43%;2020-12-02;17
Aer Lingus Group;48;2021-12-02;119;102,4;2019-12-05;186;-36,02%;-44,38%;2020-12-03;22
Aer Lingus Group;48;2021-12-03;128;104;2019-12-06;201;-36,32%;-43,39%;2020-12-04;28
Aer Lingus Group;48;2021-12-04;87;105,1;2019-12-07;145;-40,00%;-42,63%;2020-12-05;8
Aer Lingus Group;48;2021-12-05;124;105,6;2019-12-08;192;-35,42%;-42,13%;2020-12-06;26
Aer Lingus Group;49;2021-12-06;105;106,4;2019-12-09;197;-46,70%;-41,80%;2020-12-07;26
Aer Lingus Group;49;2021-12-07;81;105,4;2019-12-10;173;-53,18%;-42,39%;2020-12-08;14
Aer Lingus Group;49;2021-12-08;97;105,9;2019-12-11;190;-48,95%;-42,29%;2020-12-09;16
Aer Lingus Group;49;2021-12-09;118;105,7;2019-12-12;195;-39,49%;-42,77%;2020-12-10;22
Aer Lingus Group;49;2021-12-10;141;107,6;2019-12-13;213;-33,80%;-42,30%;2020-12-11;28
Aer Lingus Group;49;2021-12-11;121;112,4;2019-12-14;161;-24,84%;-40,42%;2020-12-12;12
Aer Lingus Group;49;2021-12-12;139;114,6;2019-12-15;206;-32,52%;-39,93%;2020-12-13;25
Aer Lingus Group;50;2021-12-13;123;117,1;2019-12-16;200;-38,50%;-38,71%;2020-12-14;29
Aer Lingus Group;50;2021-12-14;128;123,9;2019-12-17;192;-33,33%;-36,11%;2020-12-15;24
Aer Lingus Group;50;2021-12-15;120;127,1;2019-12-18;192;-37,50%;-34,51%;2020-12-16;29
Aer Lingus Group;50;2021-12-16;138;130;2019-12-19;215;-35,81%;-34,01%;2020-12-17;28
Aer Lingus Group;50;2021-12-17;143;130,3;2019-12-20;221;-35,29%;-34,25%;2020-12-18;38
Aer Lingus Group;50;2021-12-18;132;131,9;2019-12-21;194;-31,96%;-35,00%;2020-12-19;43
Aer Lingus Group;50;2021-12-19;141;132,1;2019-12-22;216;-34,72%;-35,31%;2020-12-20;40
Aer Lingus Group;51;2021-12-20;138;134,3;2019-12-23;211;-34,60%;-34,77%;2020-12-21;34
Aer Lingus Group;51;2021-12-21;136;135,4;2019-12-24;175;-22,29%;-33,43%;2020-12-22;33
Aer Lingus Group;51;2021-12-22;135;137,6;2019-12-25;0;0,00%;-21,83%;2020-12-23;42
Aer Lingus Group;51;2021-12-23;152;139,6;2019-12-26;201;-24,38%;-19,79%;2020-12-24;29
Aer Lingus Group;51;2021-12-24;123;136,7;2019-12-27;217;-43,32%;-21,17%;2020-12-25;0
Aer Lingus Group;51;2021-12-25;0;117,9;2019-12-28;187;-100,00%;-31,65%;2020-12-26;29
Aer Lingus Group;51;2021-12-26;142;118;2019-12-29;216;-34,26%;-31,57%;2020-12-27;37
Aer Lingus Group;52;2021-12-27;129;116,7;2019-12-30;206;-37,38%;-32,03%;2020-12-28;39
Aer Lingus Group;52;2021-12-28;138;117;2019-12-31;200;-31,00%;-33,25%;2020-12-29;30
Aer Lingus Group;52;2021-12-29;132;116,6;2020-01-01;192;-31,25%;-42,49%;2020-12-30;30
Aer Lingus Group;52;2021-12-30;143;115,3;2020-01-02;217;-34,10%;-43,76%;2020-12-31;26
Aer Lingus Group;52;2021-12-31;141;117,9;2020-01-03;218;-35,32%;-42,55%;2021-01-01;32
Aer Lingus Group;52;2022-01-01;123;135,4;2019-01-05;184;-33,15%;-33,85%;2021-01-02;45
Aer Lingus Group;52;2022-01-02;148;136,3;2019-01-06;215;-31,16%;-33,38%;2021-01-03;48
Aer Lingus Group;1;2022-01-03;139;137,7;2019-01-07;203;-31,53%;-32,54%;2021-01-04;38
Aer Lingus Group;1;2022-01-04;132;136,9;2019-01-08;178;-25,84%;-31,91%;2021-01-05;31
Aer Lingus Group;1;2022-01-05;116;134,6;2019-01-09;181;-35,91%;-32,52%;2021-01-06;27
Aer Lingus Group;1;2022-01-06;126;132,1;2019-01-10;176;-28,41%;-31,73%;2021-01-07;22
Aer Lingus Group;1;2022-01-07;134;131,1;2019-01-11;192;-30,21%;-30,93%;2021-01-08;29
Aer Lingus Group;1;2022-01-08;124;131,3;2019-01-12;151;-17,88%;-29,09%;2021-01-09;30
Aer Lingus Group;1;2022-01-09;133;129,1;2019-01-13;185;-28,11%;-28,59%;2021-01-10;31
Aer Lingus Group;2;2022-01-10;79;120,6;2019-01-14;179;-55,87%;-32,05%;2021-01-11;24
Aer Lingus Group;2;2022-01-11;64;110,9;2019-01-15;150;-57,33%;-36,08%;2021-01-12;16
Aer Lingus Group;2;2022-01-12;70;104,3;2019-01-16;163;-57,06%;-38,96%;2021-01-13;15
Aer Lingus Group;2;2022-01-13;81;97,9;2019-01-17;175;-53,71%;-42,68%;2021-01-14;19
Aer Lingus Group;2;2022-01-14;94;92,1;2019-01-18;191;-50,79%;-45,98%;2021-01-15;24
Aer Lingus Group;2;2022-01-15;81;86;2019-01-19;145;-44,14%;-49,33%;2021-01-16;16
Aer Lingus Group;2;2022-01-16;111;82,9;2019-01-20;181;-38,67%;-51,01%;2021-01-17;24
Aer Lingus Group;3;2022-01-17;76;82,4;2019-01-21;180;-57,78%;-51,31%;2021-01-18;23
Aer Lingus Group;3;2022-01-18;62;82,1;2019-01-22;154;-59,74%;-51,64%;2021-01-19;13
Aer Lingus Group;3;2022-01-19;74;82,7;2019-01-23;169;-56,21%;-51,55%;2021-01-20;13
Aer Lingus Group;3;2022-01-20;77;82,1;2019-01-24;176;-56,25%;-51,92%;2021-01-21;17
Aer Lingus Group;3;2022-01-21;105;83,7;2019-01-25;194;-45,88%;-51,13%;2021-01-22;22
Aer Lingus Group;3;2022-01-22;92;85,3;2019-01-26;151;-39,07%;-50,46%;2021-01-23;17
Aer Lingus Group;3;2022-01-23;112;85,4;2019-01-27;182;-38,46%;-50,41%;2021-01-24;22
Aer Lingus Group;4;2022-01-24;80;86;2019-01-28;179;-55,31%;-50,04%;2021-01-25;21
Aer Lingus Group;4;2022-01-25;77;88,1;2019-01-29;161;-52,17%;-49,09%;2021-01-26;14
Aer Lingus Group;4;2022-01-26;71;87,7;2019-01-30;164;-56,71%;-49,13%;2021-01-27;13
Aer Lingus Group;4;2022-01-27;92;89,9;2019-01-31;176;-47,73%;-47,89%;2021-01-28;17
Air Europa;39;2021-10-01;142;132,7;2019-10-04;286;-50,35%;-53,50%;2020-10-02;102
Air Europa;39;2021-10-02;137;134,3;2019-10-05;283;-51,59%;-52,88%;2020-10-03;98
Air Europa;39;2021-10-03;160;134,9;2019-10-06;284;-43,66%;-52,13%;2020-10-04;103
Air Europa;40;2021-10-04;130;134,1;2019-10-07;280;-53,57%;-52,04%;2020-10-05;96
Air Europa;40;2021-10-05;119;133,9;2019-10-08;268;-55,60%;-51,90%;2020-10-06;51
Air Europa;40;2021-10-06;129;133,7;2019-10-09;270;-52,22%;-51,85%;2020-10-07;83
Air Europa;40;2021-10-07;120;133,9;2019-10-10;275;-56,36%;-51,85%;2020-10-08;93
Air Europa;40;2021-10-08;143;134;2019-10-11;293;-51,19%;-51,97%;2020-10-09;97
Air Europa;40;2021-10-09;132;133,3;2019-10-12;276;-52,17%;-52,06%;2020-10-10;94
Air Europa;40;2021-10-10;155;132,6;2019-10-13;288;-46,18%;-52,41%;2020-10-11;99
Air Europa;41;2021-10-11;131;132,7;2019-10-14;280;-53,21%;-52,36%;2020-10-12;108
Air Europa;41;2021-10-12;120;132,9;2019-10-15;269;-55,39%;-52,33%;2020-10-13;49
Air Europa;41;2021-10-13;124;132,1;2019-10-16;269;-53,90%;-52,56%;2020-10-14;86
Air Europa;41;2021-10-14;112;131;2019-10-17;283;-60,42%;-53,17%;2020-10-15;90
Air Europa;41;2021-10-15;140;130,6;2019-10-18;286;-51,05%;-53,15%;2020-10-16;97
Air Europa;41;2021-10-16;128;130;2019-10-19;271;-52,77%;-53,24%;2020-10-17;98
Air Europa;41;2021-10-17;157;130,3;2019-10-20;285;-44,91%;-53,06%;2020-10-18;107
Air Europa;42;2021-10-18;127;129,7;2019-10-21;283;-55,12%;-53,34%;2020-10-19;91
Air Europa;42;2021-10-19;114;128,9;2019-10-22;259;-55,98%;-53,41%;2020-10-20;51
